2024/2/4 1:00:00,3.9,8,1,3.9,8,1,5.0,8,1
2024/2/4 2:00:00,3.8,8,1,3.8,8,1,4.7,8,1
2024/2/4 3:00:00,3.9,8,1,3.9,8,1,4.9,8,1
2024/2/4 4:00:00,3.9,8,1,3.9,8,1,4.8,8,1
2024/2/4 5:00:00,3.8,8,1,4.1,8,1,5.1,8,1
2024/2/4 6:00:00,3.8,8,1,4.3,8,1,5.2,8,1
2024/2/4 7:00:00,3.9,8,1,4.8,8,1,5.5,8,1
2024/2/4 8:00:00,4.3,8,1,5.1,8,1,5.9,8,1
2024/2/4 9:00:00,5.7,8,1,6.3,8,1,6.7,8,1
2024/2/4 10:00:00,8.2,8,1,7.1,8,1,6.8,8,1
2024/2/4 11:00:00,8.8,8,1,8.6,8,1,7.9,8,1
2024/2/4 12:00:00,9.9,8,1,8.4,8,1,8.4,8,1
2024/2/4 13:00:00,10.3,8,1,10.4,8,1,8.9,8,1
2024/2/4 14:00:00,9.4,8,1,9.9,8,1,9.9,8,1
2024/2/4 15:00:00,9.6,8,1,9.3,8,1,9.6,8,1
2024/2/4 16:00:00,8.9,8,1,9.5,8,1,9.7,8,1
2024/2/4 17:00:00,7.9,8,1,8.3,8,1,8.7,8,1
2024/2/4 18:00:00,6.9,8,1,7.3,8,1,8.0,8,1
2024/2/4 19:00:00,6.1,8,1,6.7,8,1,7.6,8,1
2024/2/4 20:00:00,5.5,8,1,5.8,8,1,7.8,8,1
2024/2/4 21:00:00,5.2,8,1,5.5,8,1,7.1,8,1
2024/2/4 22:00:00,3.9,8,1,5.4,8,1,7.1,8,1
2024/2/4 23:00:00,3.9,8,1,5.4,8,1,7.3,8,1
2024/2/5 00:00:00,4.3,8,1,5.2,8,1,7.3,8,1
2024/2/5 1:00:00,4.8,8,1,5.3,8,1,7.7,8,1
2024/2/5 2:00:00,5.3,8,1,5.7,8,1,7.8,8,1
2024/2/5 3:00:00,6.1,8,1,5.7,8,1,7.5,8,1
2024/2/5 4:00:00,6.5,8,1,6.1,8,1,7.1,8,1
2024/2/5 5:00:00,6.3,8,1,5.9,8,1,7.3,8,1
2024/2/5 6:00:00,4.8,8,1,5.1,8,1,5.8,8,1
2024/2/5 7:00:00,4.1,8,1,4.7,8,1,5.2,8,1
2024/2/5 8:00:00,3.8,8,1,4.6,8,1,5.6,8,1
2024/2/5 9:00:00,3.7,8,1,4.2,8,1,4.8,8,1
2024/2/5 10:00:00,4.0,8,1,4.4,8,1,4.6,8,1
2024/2/5 11:00:00,5.4,8,1,4.6,8,1,5.9,8,1
2024/2/5 12:00:00,5.7,8,1,5.2,8,1,6.7,8,1
2024/2/5 13:00:00,5.9,8,1,5.5,8,1,7.0,8,1
2024/2/5 14:00:00,5.9,8,1,5.1,8,1,7.5,8,1
2024/2/5 15:00:00,5.4,8,1,5.1,8,1,6.9,8,1
2024/2/5 16:00:00,4.8,8,1,4.7,8,1,6.6,8,1
2024/2/5 17:00:00,5.4,8,1,4.5,8,1,6.3,8,1
2024/2/5 18:00:00,5.1,8,1,4.8,8,1,6.5,8,1
2024/2/5 19:00:00,5.0,8,1,4.9,8,1,6.4,8,1
2024/2/5 20:00:00,4.4,8,1,4.8,8,1,5.9,8,1
2024/2/5 21:00:00,3.7,8,1,4.3,8,1,5.7,8,1
2024/2/5 22:00:00,2.3,8,1,3.5,8,1,6.0,8,1
2024/2/5 23:00:00,2.4,8,1,2.6,8,1,5.8,8,1
2024/2/6 00:00:00,1.7,8,1,3.2,8,1,5.6,8,1
